Model,h(m),hw(m),Alpha,Cohesion,Friction,FOS
modelo_h_01_hwp_010_alpha_15_c_00_phi_15.hjs,1,0.1,15,0,15,1.028377727
modelo_h_01_hwp_010_alpha_15_c_00_phi_20.hjs,1,0.1,15,0,20,1.397114153
modelo_h_01_hwp_010_alpha_15_c_00_phi_25.hjs,1,0.1,15,0,25,1.790093623
modelo_h_01_hwp_010_alpha_15_c_00_phi_30.hjs,1,0.1,15,0,30,2.216577504
modelo_h_01_hwp_010_alpha_15_c_00_phi_35.hjs,1,0.1,15,0,35,2.688339834
modelo_h_01_hwp_010_alpha_15_c_00_phi_40.hjs,1,0.1,15,0,40,3.221651533
modelo_h_01_hwp_010_alpha_15_c_00_phi_45.hjs,1,0.1,15,0,45,3.839440077
modelo_h_01_hwp_010_alpha_15_c_05_phi_15.hjs,1,0.1,15,5,15,2.717738261
modelo_h_01_hwp_010_alpha_15_c_05_phi_20.hjs,1,0.1,15,5,20,3.086398959
modelo_h_01_hwp_010_alpha_15_c_05_phi_25.hjs,1,0.1,15,5,25,3.479291143
modelo_h_01_hwp_010_alpha_15_c_05_phi_30.hjs,1,0.1,15,5,30,3.905648594
modelo_h_01_hwp_010_alpha_15_c_05_phi_35.hjs,1,0.1,15,5,35,4.377383516
modelo_h_01_hwp_010_alpha_15_c_05_phi_40.hjs,1,0.1,15,5,40,4.910721075
modelo_h_01_hwp_010_alpha_15_c_05_phi_45.hjs,1,0.1,15,5,45,5.528559216
modelo_h_01_hwp_010_alpha_15_c_10_phi_15.hjs,1,0.1,15,10,15,4.407608474
modelo_h_01_hwp_010_alpha_15_c_10_phi_20.hjs,1,0.1,15,10,20,4.776049524
modelo_h_01_hwp_010_alpha_15_c_10_phi_25.hjs,1,0.1,15,10,25,5.16881623
modelo_h_01_hwp_010_alpha_15_c_10_phi_30.hjs,1,0.1,15,10,30,5.595023669
modelo_h_01_hwp_010_alpha_15_c_10_phi_35.hjs,1,0.1,15,10,35,6.066623242
modelo_h_01_hwp_010_alpha_15_c_10_phi_40.hjs,1,0.1,15,10,40,6.402473626
modelo_h_01_hwp_010_alpha_15_c_10_phi_45.hjs,1,0.1,15,10,45,6.416240006
modelo_h_01_hwp_010_alpha_15_c_15_phi_15.hjs,1,0.1,15,15,15,6.097562808
modelo_h_01_hwp_010_alpha_15_c_15_phi_20.hjs,1,0.1,15,15,20,6.405696549
modelo_h_01_hwp_010_alpha_15_c_15_phi_25.hjs,1,0.1,15,15,25,6.414247827
modelo_h_01_hwp_010_alpha_15_c_15_phi_30.hjs,1,0.1,15,15,30,6.423594801
modelo_h_01_hwp_010_alpha_15_c_15_phi_35.hjs,1,0.1,15,15,35,6.434023665
modelo_h_01_hwp_010_alpha_15_c_15_phi_40.hjs,1,0.1,15,15,40,6.444380777
modelo_h_01_hwp_010_alpha_15_c_15_phi_45.hjs,1,0.1,15,15,45,6.455769116
modelo_h_01_hwp_010_alpha_15_c_20_phi_15.hjs,1,0.1,15,20,15,6.440860914
modelo_h_01_hwp_010_alpha_15_c_20_phi_20.hjs,1,0.1,15,20,20,6.447258239
modelo_h_01_hwp_010_alpha_15_c_20_phi_25.hjs,1,0.1,15,20,25,6.454146201
modelo_h_01_hwp_010_alpha_15_c_20_phi_30.hjs,1,0.1,15,20,30,6.461697395
modelo_h_01_hwp_010_alpha_15_c_20_phi_35.hjs,1,0.1,15,20,35,6.47016159
modelo_h_01_hwp_010_alpha_15_c_20_phi_40.hjs,1,0.1,15,20,40,6.479878349
modelo_h_01_hwp_010_alpha_15_c_20_phi_45.hjs,1,0.1,15,20,45,6.491345915
modelo_h_01_hwp_010_alpha_20_c_00_phi_15.hjs,1,0.1,20,0,15,0.754532392
modelo_h_01_hwp_010_alpha_20_c_00_phi_20.hjs,1,0.1,20,0,20,1.02509268
