Nome do modelo,H(m),Inclinação(graus),Coesao(kPa),Ângulo de atrito(graus),Peso específico (kN/m³),Fator de Segurança
modelo_n_0001.hjs,44.273,23.6725,285.45,44.375,19.23,5.739904328
modelo_n_0002.hjs,23.681,40.9425,234.15,23.425,15.55,5.381333391
modelo_n_0003.hjs,74.765,17.9525,151.05,43.825,17.01,4.720918006
modelo_n_0004.hjs,48.035,24.4975,52.65,19.475,23.91,1.386943306
modelo_n_0005.hjs,197.525,27.5775,205.65,4.925,11.45,0.903321854
modelo_n_0006.hjs,45.263,18.6675,115.65,2.825,11.57,1.800870782
modelo_n_0007.hjs,134.957,38.0825,266.55,3.225,16.05,0.977295311
modelo_n_0008.hjs,192.575,19.1625,53.55,18.975,26.99,1.219515051
modelo_n_0009.hjs,43.085,48.2575,288.15,41.725,17.97,3.942019484
modelo_n_0010.hjs,132.581,45.1225,262.95,0.225,10.05,1.659171586
modelo_n_0011.hjs,155.945,55.4075,175.05,37.875,19.87,1.238372271
modelo_n_0012.hjs,57.935,52.4925,226.65,23.725,15.73,2.60204772
modelo_n_0013.hjs,146.441,45.3975,124.65,33.725,21.89,1.206264403
modelo_n_0014.hjs,71.597,36.0475,190.65,44.825,15.03,3.286615019
modelo_n_0015.hjs,86.645,53.3175,119.85,45.825,10.13,2.199057288
modelo_n_0016.hjs,169.013,42.6475,208.95,31.075,25.01,1.290449379
modelo_n_0017.hjs,114.563,27.2475,47.85,3.575,11.55,0.447225254
modelo_n_0018.hjs,104.069,15.4775,247.05,45.625,28.31,5.155720765
modelo_n_0019.hjs,104.663,20.5925,192.75,31.725,22.59,2.788503916
modelo_n_0020.hjs,60.509,33.4075,32.85,6.525,11.59,0.600166701
modelo_n_0021.hjs,73.181,26.8075,82.95,36.625,20.21,2.321076235
modelo_n_0022.hjs,167.429,47.9275,287.85,43.125,20.75,1.850937547
modelo_n_0023.hjs,147.431,47.4875,159.75,48.025,24.99,1.710551149
modelo_n_0024.hjs,53.975,5.8525,271.05,34.025,21.03,10.88189998
modelo_n_0025.hjs,191.387,27.9075,150.75,34.575,28.93,1.80621455
modelo_n_0026.hjs,113.375,51.4475,130.05,10.175,29.17,0.507044539
modelo_n_0027.hjs,198.911,34.5625,275.85,29.125,17.69,1.727667777
modelo_n_0028.hjs,54.767,55.8475,220.05,31.875,23.73,2.006446012
modelo_n_0029.hjs,159.905,38.9625,233.85,17.625,25.59,0.996653765
modelo_n_0030.hjs,83.873,56.6175,178.05,1.225,19.81,1.21900136
modelo_n_0031.hjs,159.311,21.0875,119.25,3.125,13.75,0.609963154
modelo_n_0032.hjs,96.941,8.4375,27.45,11.725,27.27,1.653359949
modelo_n_0033.hjs,66.053,29.5575,162.45,44.925,25.77,3.071036588
modelo_n_0034.hjs,187.229,44.8475,25.05,3.275,20.89,0.131367351
modelo_n_0035.hjs,107.633,26.5325,254.25,40.975,29.59,2.884084141
modelo_n_0036.hjs,59.321,59.6975,245.55,8.425,23.35,2.150069589
modelo_n_0037.hjs,134.363,25.1025,76.05,37.475,20.99,2.165144046
modelo_n_0038.hjs,36.353,36.9275,184.05,35.625,21.01,3.176754286
modelo_n_0039.hjs,5.267,46.0575,202.95,7.675,16.51,22.33180175
modelo_n_0040.hjs,161.489,29.7225,283.95,29.525,26.79,1.847646962
modelo_n_0041.hjs,93.971,46.5525,194.85,40.925,24.53,1.825555341
modelo_n_0042.hjs,64.667,22.6825,7.05,38.575,25.79,2.065498929
modelo_n_0043.hjs,19.721,28.4575,240.45,27.875,26.59,4.784614341
modelo_n_0044.hjs,45.857,48.9175,78.15,38.425,13.59,1.976223787
modelo_n_0045.hjs,179.309,40.2825,16.95,29.725,16.23,0.82501149
